1、的、de、possessive, adjectival suffix、0
1、一、yī、one; a, an; alone、0
1、是、shì、indeed, yes, right; to be; demonstrative pronoun, this, that、0
1、不、bù、no, not; un-; negative prefix、0
1、了、le、to finish; particle of completed action、0
1、在、zài、be at, in, on; consist in, rest、0
1、人、rén、man; people; mankind; someone else、0
1、有、yǒu、have, own, possess; exist、0
1、我、wǒ、our, us, i, me, my, we、0
1、他、tā、other, another; he, she, it、0
1、这、zhè、this, the, here、0
1、个、gè、numerary adjunct, piece; single、0
1、们、men、adjunct pronoun indicate plural、0
1、中、zhōng、central; center, middle; in the midst of; hit (target); attain、0
1、来、lái、come, coming; return, returning、0
1、上、shàng、top; superior, highest; go up, send up、0
1、大、dà、big, great, vast, large, high、0
1、和、hé、harmony, peace; peaceful, calm、0
1、国、guó、nation, country, nation-state、0
1、说、shuō、speak, say, talk; scold, upbraid、0
1、时、shí、time, season; era, age, period、0
1、出、chū、go out, send out; stand; produce、0
1、会、huì、assemble, meet together; meeting、0
1、你、nǐ、you, second person pronoun、0
1、对、duì、correct, right; facing, opposed、0
1、生、shēng、life, living, lifetime; birth、0
1、能、néng、to be able; can, permitted to; ability、0
1、子、zi、offspring, child; fruit, seed of; 1st terrestrial branch、0
1、那、nà、that, that one, those、0
1、下、xià、under, underneath, below; down; inferior; bring down、0
1、年、nián、、0
1、后、hòu、queen, empress, sovereign; (simp. for 後) behind, rear, after、0
1、作、zuò、make; work; compose, write; act, perform、0
1、里、lǐ、unit of distance; village; lane、0
1、家、jiā、house, home, residence; family、0
1、多、duō、much, many; more than, over、0
1、么、me、interrogative particle; repetition of a tune small; tender、0
1、去、qù、go away, leave, depart、0
1、学、xué、learning, knowledge; school、0
1、都、dōu、metropolis, capital; all, the whole; elegant, refined、0
1、同、tóng、same, similar; together with、0
1、现、xiàn、appear, manifest, become visible、0
1、没、méi、not, have not, none; drown, sink、0
1、面、miàn、face; surface; plane; side, dimension、0
1、起、qǐ、rise, stand up; go up; begin、0
1、看、kàn、look, see; examine, scrutinize、0
1、天、tiān、sky, heaven; god, celestial、0
1、分、fēn、divide; small unit of time etc.、0
1、好、hǎo、good, excellent, fine; well、0
1、小、xiǎo、small, tiny, insignificant、0
1、些、xiē、little, few; rather, somewhat、0
1、样、yàng、shape, form, pattern, style、0
1、她、tā、she, her、0
1、本、běn、root, origin, source; basis、0
1、前、qián、in front, forward; preceding、0
1、开、kāi、open; initiate, begin, start、0
1、想、xiǎng、think, speculate, plan, consider、0
1、机、jī、desk; machine; moment、0
1、十、shí、ten, tenth; complete; perfect、0
1、工、gōng、labor, work; worker, laborer、0
1、明、míng、bright, light, brilliant; clear、0
1、三、sān、three、0
1、关、guān、frontier pass; close; relation、0
1、点、diǎn、dot, speck, spot; point, degree、0
1、高、gāo、high, tall; lofty, elevated、0
1、很、hěn、very, quite, much、0
1、见、jiàn、see, observe, behold; perceive、0
1、什、shén、file of ten soldiers; mixed, miscellaneous、0
1、二、èr、two; twice、0
1、果、guǒ、fruit; result、0
1、西、xī、west(ern); westward, occident、0
1、月、yuè、moon; month; KangXi radical 74、0
1、话、huà、speech, talk, language; dialect、0
1、回、huí、return, turn around; a time、0
1、老、lǎo、old, aged; experienced、0
1、先、xiān、first, former, previous、0
1、儿、ér、son, child; KangXi radical 10、0
1、东、dōng、east, eastern, eastward、0
1、水、shuǐ、water, liquid, lotion, juice、0
1、名、míng、name, rank, title, position、0
1、几、jǐ、small table、0
1、认、rèn、recognize, know, understand、0
1、系、xì、system; line, link, connection、0
1、气、qì、steam, vapor; KangXi radical 84、0
1、打、dǎ、strike, hit, beat; fight; attack、0
1、女、nǚ、woman, girl; feminine; rad. 38、0
1、四、sì、four、0
1、电、diàn、electricity; electric; lightning、0
1、少、shǎo、few, less, inadequate、0
1、太、tài、very, too, much; big; extreme、0
1、再、zài、again, twice, re-、0
1、做、zuò、work, make; act、0
1、期、qī、period of time; date; time limit、0
1、五、wǔ、five; surname、0
1、书、shū、book, letter, document; writings、0
1、听、tīng、hear; understand; obey, comply、0
1、住、zhù、reside, live at, dwell, lodge; stop、0
1、北、běi、north; northern; northward、0
1、觉、jué、to wake up from sleep; conscious、0
1、师、shī、teacher, master, specialist、0
1、今、jīn、now, today, modern era、0
1、院、yuàn、courtyard, yard, court; school、0
1、识、shí、recognize, understand, know、0
1、候、hòu、wait; expect; visit; greet、0
1、飞、fēi、fly; go quickly; dart; high、0
1、车、chē、cart, vehicle; carry in cart、0
1、服、fú、clothes; wear, dress、0
1、怎、zěn、what? why? how?、0
1、呢、ne、interrogative or emphatic final; (Cant.) this、0
1、叫、jiào、cry, shout; hail, greet, call、0
1、影、yǐng、shadow; image, reflection; photograph、0
1、字、zì、letter, character, word、0
1、爱、ài、love, be fond of, like、0
1、商、shāng、commerce, business, trade、0
1、请、qǐng、ask, request; invite; please、0
1、视、shì、look at, inspect, observe, see、0
1、九、jiǔ、nine、0
1、写、xiě、write; draw, sketch; compose、0
1、八、bā、eight; all around, all sides、0
1、吗、ma、final interrogative particle、0
1、吃、chī、eat; drink; suffer, endure, bear、0
1、六、liù、number six、0
1、医、yī、cure, heal; doctor, medical、0
1、号、hào、mark, sign; symbol; number、0
